ngram,all,up,down,polarity,hawk/dov
제2차세계대전/NNG,63,17.0,35.0,0.5524740610650447,dovish
가격/NNG;내림/NNG,63,18.0,35.0,0.5849725352453414,dovish
기업/NNG;수익성/NNG;개선/NNG,63,33.0,18.0,2.0853187599023744,hawkish
호반/NNG,63,39.0,22.0,2.01638260255023,hawkish
사업계획서/NNG,63,16.0,37.0,0.49186879840449127,dovish
고용/NNG;비용/NNG;지수/NNG;상승/NNG,63,16.0,33.0,0.5514892588171569,dovish
경영/NNG;환경/NNG;악화/NNG,63,30.0,23.0,1.48362599518746,hawkish
범행/NNG,63,36.0,18.0,2.2748931926207723,hawkish
미증/NNG,63,30.0,25.0,1.3649359155724632,hawkish
숏포지션청산/NNG,63,14.0,37.0,0.43038519860392993,dovish
명함/NNG,63,27.0,23.0,1.335263395668714,hawkish
ecb/NNG;통화/NNG;긴축/NNG,63,35.0,19.0,2.095296361624395,hawkish
집안/NNG,63,35.0,25.0,1.5924252348345405,hawkish
상용/NNG,63,34.0,21.0,1.841580203550149,hawkish
관보/NNG,63,18.0,37.0,0.5533523982050528,dovish
고칠/VV,63,19.0,37.0,0.5840941981053335,dovish
타진/VV,63,35.0,21.0,1.8957443271839767,hawkish
금리/NNG;인상/NNG;매파/NNG,63,37.0,18.0,2.338084670193571,hawkish
노/VV,63,33.0,24.0,1.563989069926781,hawkish
시찰/NNG,63,17.0,35.0,0.5524740610650447,dovish
경제/NNG;피해/NNG구조개혁/NNG,63,0.5,63.0,0.00902735393897132,dovish
인상/NNG;가능성/NNG;높/VV,63,11.0,29.0,0.43144526066945676,dovish
영합주의/NNG,63,25.0,16.0,1.7772603067349781,hawkish
국고채/NNG;내리/VV국고채/NNG,63,33.0,22.0,1.7061698944655792,hawkish
재무/NNG;건전성/NNG;강화/NNG,63,29.0,24.0,1.3744146372083834,hawkish
신용/NNG;하락/NNG,63,28.0,21.0,1.5165954617471815,hawkish
송인/NNG,63,19.0,32.0,0.6753589165592917,dovish
습득/NNG,63,18.0,28.0,0.7312156690566768,dovish
전성시대/NNG,63,19.0,33.0,0.6548934948453738,dovish
물가/NNG;상승/NNG;가속/NNG,63,34.0,22.0,1.7578720124796878,hawkish
선언문/NNG,63,29.0,24.0,1.3744146372083834,hawkish
석실/NNG,63,35.0,14.0,2.8436164907759647,hawkish
마이너스/NNG;상승/NNG,63,16.0,34.0,0.5352689864990052,dovish
회사채/NNG;수익률/NNG;오르/VV,63,33.0,16.0,2.345983604890171,hawkish
흥/NNG,63,15.0,41.0,0.4161389986501412,dovish
무제한/NNG;양적완화/NNG,63,13.0,32.0,0.4620876797510943,dovish
률/NNG,63,26.0,22.0,1.34425506836682,hawkish
통안채/NNG;강세/NNG,63,29.0,20.0,1.64929756465006,hawkish
만발/NNG,63,30.0,19.0,1.7959683099637673,hawkish
열망/NNG,63,17.0,36.0,0.5371275593687934,dovish
상해지수/NNG,63,31.0,27.0,1.305957203171184,hawkish
실물/NNG;경제/NNG;악영향/NNG,63,18.0,35.0,0.5849725352453414,dovish
규제감독/NNG,63,35.0,18.0,2.2117017150479725,hawkish
반이민정책/NNG,63,32.0,27.0,1.3480848548863835,hawkish
은행/NNG;위험관리/NNG;강화/NNG,63,28.0,24.0,1.327021029028784,hawkish
기관채/NNG,63,33.0,23.0,1.631988594706206,hawkish
대출/NNG;금리/NNG;부담/NNG,63,20.0,32.0,0.7109041226939913,dovish
